SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,Subgroup,MathPercentReady,MathNumAssessed,MathScoreAverage,MathCountReady,ReadingPercentReady,ReadingNumAssessed,ReadingScoreAverage,SciencePercentReady,ScienceNumAssessed,ScienceScoreAverage,EnglishPercentReady,EnglishNumAssessed,EnglishScoreAverage,AllSubjectPercentReady,AllSubjectNumAssessed,AllSubjectScoreAverage,AllCountReady,EBRWPercentReady,EBRWNumAssessed,EBRWScoreAverage,EBRWCountReady
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","         5","English Language Learners","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","         5","Female","<=20%","18","406.1000","<3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=20%","18","869.4000","<3","55.6000","18","463.3000","10"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","         5","Hispanic","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","         5","Male","<=20%","24","394.2000","<3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=20%","24","840.4000","<3","37.5000","24","446.3000","9"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","         5","Military Connected","*","<10","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","<10","*","*","*","<10","*","*"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","         5","Not Economically Disadvantaged","<=20%","24","425.4000","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=20%","24","907.1000","3","58.3000","24","481.7000","14"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","         5","Not English Language Learners","10.8000","37","402.7000","4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","10.8000","37","865.9000","4","51.4000","37","463.2000","19"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","         5","Not Foster Care","<=10%","42","399.3000","4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=10%","42","852.9000","4","45.2000","42","453.6000","19"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","         5","Not Homeless","<=10%","42","399.3000","4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=10%","42","852.9000","4","45.2000","42","453.6000","19"
"24 - 25 School Year","63","Oakland Schools","63150","Troy School District","08286","Troy College and Career High School","63","Oakland","LEA School","Middle_High School","City: Small","Oakland Region","         5","Not Migrant","<=10%","42","399.3000","4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=10%","42","852.9000","4","45.2000","42","453.6000","19"
