year,subject,grade,subgroup,tested,pct_met
2023,Math,7,White,369,62.1
2023,Math,7,Asian,628,86.1
2023,Math,7,SWD,135,21.5
2023,ELA,7,English Learner,181,14.9
2023,ELA,7,Not Econ Disadv,1069,81.5
2023,ELA,7,Male,720,66.8
2023,Math,7,Non-EL,1210,73.1
2023,Math,7,Econ Disadvantaged,326,30.1
2023,ELA,7,Female,,73.7
2023,Math,7,Hispanic/Latino,220,24.1
2024,ELA,3,All Students,1316,70.1
2024,Math,3,All Students,1323,72.9
2024,ELA,3,English Learner,353,40.8
2024,Math,3,English Learner,360,48.3
2024,Math,3,Non-EL,963,82.1
2024,ELA,3,Non-EL,963,80.8
2024,ELA,3,Econ Disadvantaged,303,37.3
2024,Math,3,Econ Disadvantaged,307,38.4
2024,ELA,3,Not Econ Disadv,1013,79.9
2024,Math,3,Not Econ Disadv,1016,83.4
2024,ELA,3,Female,607,75.1
2024,Math,3,Female,611,72.0
2024,ELA,3,Male,709,65.7
2024,Math,3,Male,712,73.7
2024,Math,3,Asian,622,87.8
2024,ELA,3,Asian,618,82.5
2024,ELA,3,Black/African American,,33.3
2024,Math,3,Black/African American,,26.7
2024,Math,3,Hispanic/Latino,189,31.2
2024,ELA,3,Hispanic/Latino,187,28.9
2024,Math,3,White,311,75.2
2024,ELA,3,White,310,73.2
2024,Math,3,SWD,175,38.3
2024,ELA,3,SWD,175,38.3
2024,ELA,4,All Students,1260,68.5
2024,Math,4,All Students,1271,71.5
2024,ELA,4,English Learner,316,40.5
2024,Math,4,English Learner,327,48.6
2024,Math,4,Non-EL,944,79.5
2024,ELA,4,Non-EL,944,77.9
2024,ELA,4,Econ Disadvantaged,310,36.5
2024,Math,4,Econ Disadvantaged,316,34.2
2024,ELA,4,Not Econ Disadv,950,79.0
2024,Math,4,Not Econ Disadv,955,83.9
2024,ELA,4,Female,625,70.9
2024,Math,4,Female,629,70.8
2024,Math,4,Male,642,72.3
2024,ELA,4,Male,635,66.1
2024,ELA,4,Asian,554,82.7
2024,Math,4,Asian,560,88.4
2024,Math,4,Black/African American,,28.8
2024,ELA,4,Black/African American,,31.8
2024,ELA,4,Hispanic/Latino,168,32.7
2024,Math,4,Hispanic/Latino,169,33.7
2024,ELA,4,White,333,67.3
2024,Math,4,White,336,67.0
2024,Math,4,SWD,148,32.4
2024,ELA,4,SWD,148,30.4
2024,ELA,5,All Students,1344,76.1
2024,Math,5,All Students,1347,67.6
2024,ELA,5,English Learner,216,29.2
2024,Math,5,English Learner,220,29.1
2024,Math,5,Non-EL,1127,75.2
2024,ELA,5,Non-EL,1128,85.1
2024,ELA,5,Econ Disadvantaged,312,38.8
2024,Math,5,Econ Disadvantaged,312,28.2
2024,ELA,5,Not Econ Disadv,1032,87.4
2024,Math,5,Not Econ Disadv,1035,79.5
2024,Math,5,Female,,63.4
2024,ELA,5,Female,,76.3
2024,ELA,5,Male,705,75.9
2024,Math,5,Male,704,71.5
2024,ELA,5,Asian,648,89.2
2024,Math,5,Asian,649,85.4
2024,ELA,5,Black/African American,,55.1
2024,Math,5,Black/African American,,37.5
2024,ELA,5,Hispanic/Latino,196,42.4
2024,Math,5,Hispanic/Latino,197,27.9
2024,ELA,5,White,312,73.7
2024,Math,5,White,314,62.1
2024,Math,5,SWD,161,29.2
2024,ELA,5,SWD,161,36.7
2024,ELA,6,All Students,1444,65.1
2024,Math,6,All Students,1452,63.3
2024,Math,6,English Learner,238,30.7
2024,ELA,6,English Learner,229,23.1
2024,ELA,6,Non-EL,1215,73.0
2024,Math,6,Non-EL,1214,69.7
2024,Math,6,Econ Disadvantaged,358,26.8
2024,ELA,6,Econ Disadvantaged,353,32.3
2024,ELA,6,Not Econ Disadv,1091,75.7
2024,Math,6,Not Econ Disadv,1094,75.2
2024,ELA,6,Female,,69.0
2024,Math,6,Female,,62.8
2024,ELA,6,Male,752,61.7
2024,Math,6,Male,759,63.9
2024,ELA,6,Asian,662,80.5
2024,Math,6,Asian,668,83.1
2024,ELA,6,Black/African American,,27.6
2024,Math,6,Black/African American,,25.9
2024,ELA,6,Hispanic/Latino,212,33.0
2024,Math,6,Hispanic/Latino,214,21.5
2024,ELA,6,White,354,63.6
2024,Math,6,White,354,59.9
2024,ELA,6,SWD,148,21.0
2024,Math,6,SWD,149,22.8
2024,ELA,7,All Students,1463,70.3
2024,Math,7,All Students,1471,65.7
2024,Math,7,English Learner,236,30.5
2024,ELA,7,English Learner,228,22.4
2024,ELA,7,Non-EL,1235,79.1
2024,Math,7,Non-EL,1235,72.5
2024,Math,7,Econ Disadvantaged,370,26.8
2024,ELA,7,Econ Disadvantaged,368,33.2
2024,Math,7,Not Econ Disadv,1101,78.8
2024,ELA,7,Not Econ Disadv,1095,82.7
2024,ELA,7,Female,,74.9
2024,Math,7,Female,,65.1
2024,ELA,7,Male,755,66.1
2024,Math,7,Male,760,66.6
2024,ELA,7,Asian,650,86.3
2024,Math,7,Asian,658,87.2
2024,ELA,7,Black/African American,57,31.6
2024,Math,7,Black/African American,57,26.3
2024,ELA,7,Hispanic/Latino,219,34.7
2024,Math,7,Hispanic/Latino,218,22.5
2024,ELA,7,White,364,70.6
2024,Math,7,White,365,60.8
2024,ELA,7,SWD,147,27.2
2024,Math,7,SWD,147,20.4
2025,Math,3,All Students,1345,69.4
2025,ELA,3,All Students,1333,65.1
2025,ELA,3,English Learner,369,34.2
2025,Math,3,English Learner,381,43.6
2025,ELA,3,Non-EL,964,77.0
2025,Math,3,Non-EL,964,79.7
2025,ELA,3,Econ Disadvantaged,322,28.3
2025,Math,3,Econ Disadvantaged,323,33.4
2025,ELA,3,Not Econ Disadv,1011,76.9
2025,Math,3,Not Econ Disadv,1022,80.8
2025,ELA,3,Female,643,69.2
2025,Math,3,Female,647,66.3
2025,ELA,3,Male,690,61.3
2025,Math,3,Male,698,72.4
2025,Math,3,Asian,614,85.0
2025,ELA,3,Asian,602,80.1
2025,ELA,3,Black/African American,,40.9
2025,Math,3,Black/African American,,40.9
2025,ELA,3,Hispanic/Latino,200,25.5
2025,Math,3,Hispanic/Latino,200,29.0
2025,ELA,3,White,328,61.9
2025,Math,3,White,328,64.0
2025,ELA,3,SWD,170,34.7
2025,Math,3,SWD,170,40.0
2025,ELA,4,All Students,1375,70.8
2025,Math,4,All Students,1381,72.9
2025,ELA,4,English Learner,328,33.2
2025,Math,4,English Learner,334,44.3
2025,Math,4,Non-EL,1047,82.0
2025,ELA,4,Non-EL,1047,82.5
2025,ELA,4,Econ Disadvantaged,321,35.8
2025,Math,4,Econ Disadvantaged,321,39.9
2025,Math,4,Not Econ Disadv,1060,82.8
2025,ELA,4,Not Econ Disadv,1054,81.4
2025,ELA,4,Female,,74.1
2025,Math,4,Female,,70.2
2025,Math,4,Male,743,75.1
2025,ELA,4,Male,738,67.9
2025,Math,4,Asian,676,87.3
2025,ELA,4,Asian,671,82.9
2025,ELA,4,Black/African American,,30.0
2025,Math,4,Black/African American,,24.5
2025,ELA,4,Hispanic/Latino,199,32.2
2025,Math,4,Hispanic/Latino,199,31.2
2025,ELA,4,White,303,73.6
2025,Math,4,White,305,74.8
2025,ELA,4,SWD,175,40.0
2025,Math,4,SWD,176,37.5
2025,Math,5,All Students,1335,67.9
2025,ELA,5,All Students,1333,72.5
2025,Math,5,English Learner,253,33.6
2025,ELA,5,English Learner,250,27.6
2025,ELA,5,Non-EL,1083,82.8
2025,Math,5,Non-EL,1082,75.9
2025,ELA,5,Econ Disadvantaged,332,37.7
2025,Math,5,Econ Disadvantaged,331,32.6
2025,Math,5,Not Econ Disadv,1004,79.5
2025,ELA,5,Not Econ Disadv,1001,84.0
2025,Math,5,Female,663,66.4
2025,ELA,5,Female,661,75.5
2025,Math,5,Male,672,69.4
2025,ELA,5,Male,672,69.5
2025,ELA,5,Asian,603,84.6
2025,Math,5,Asian,606,86.6
2025,ELA,5,Black/African American,,37.7
2025,Math,5,Black/African American,,30.4
2025,ELA,5,Hispanic/Latino,176,35.2
2025,Math,5,Hispanic/Latino,176,25.0
2025,ELA,5,White,337,73.9
2025,Math,5,White,337,62.9
2025,ELA,5,SWD,139,28.1
2025,Math,5,SWD,139,20.9
2025,Math,6,All Students,1486,65.3
2025,ELA,6,All Students,1477,68.9
2025,ELA,6,English Learner,231,21.2
2025,Math,6,English Learner,240,26.3
2025,ELA,6,Non-EL,1246,77.8
2025,Math,6,Non-EL,1246,72.9
2025,Math,6,Econ Disadvantaged,368,26.6
2025,ELA,6,Econ Disadvantaged,365,33.7
2025,Math,6,Not Econ Disadv,1118,78.1
2025,ELA,6,Not Econ Disadv,1112,80.5
2025,Math,6,Female,,64.3
2025,ELA,6,Female,,71.6
2025,Math,6,Male,793,66.3
2025,ELA,6,Male,788,66.6
2025,ELA,6,Asian,724,83.3
2025,Math,6,Asian,732,83.1
2025,ELA,6,Black/African American,,48.1
2025,Math,6,Black/African American,,29.6
2025,ELA,6,Hispanic/Latino,219,33.3
2025,Math,6,Hispanic/Latino,219,25.1
2025,ELA,6,White,331,64.7
2025,Math,6,White,331,60.1
2025,ELA,6,SWD,159,22.0
2025,Math,6,SWD,159,25.2
2025,ELA,7,All Students,1492,68.8
2025,Math,7,All Students,1502,65.3
2025,ELA,7,English Learner,226,21.2
2025,Math,7,English Learner,239,28.0
2025,ELA,7,Non-EL,1266,77.3
2025,Math,7,Non-EL,1263,72.3
2025,Math,7,Econ Disadvantaged,375,26.9
2025,ELA,7,Econ Disadvantaged,375,35.2
2025,ELA,7,Not Econ Disadv,1117,80.1
2025,Math,7,Not Econ Disadv,1127,78.0
2025,Math,7,Female,,64.0
2025,ELA,7,Female,,72.0
2025,ELA,7,Male,774,65.9
2025,Math,7,Male,778,66.3
2025,ELA,7,Asian,703,83.9
2025,Math,7,Asian,714,84.2
2025,Math,7,Black/African American,,20.3
2025,ELA,7,Black/African American,,33.3
2025,ELA,7,Hispanic/Latino,212,33.5
2025,Math,7,Hispanic/Latino,212,25.5
2025,Math,7,White,361,60.9
2025,ELA,7,White,360,66.7
2025,ELA,7,SWD,137,27.0
2025,Math,7,SWD,136,18.4
