SchoolYear,TestType,IsdCode,IsdName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,Grade,Subject,Subgroup_1,Subgroup_2,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Two or More Races","Not English Learners","<=50%","<=50%","<=50%","<=50%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Female","Not English Learners","65.3","19.0","9.1","6.6"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Asian","Students with Disabilities","*","*","*","*"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Male","Students without IEP","60.4","28.7","7.9","<=5%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Two or More Races","Students without IEP","*","*","*","*"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Two or More Races","Male","*","*","*","*"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Hispanic","Male","*","*","*","*"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","White, not of Hispanic origin","Students without IEP","60.0","23.0","9.0","8.0"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","White, not of Hispanic origin","Male","48.3","25.9","12.1","13.8"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","White, not of Hispanic origin","English Learners","*","*","*","*"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","White, not of Hispanic origin","Students with Disabilities","35.3","23.5","<=20%","29.4"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Male","Students with Disabilities","<=50%","<=50%","<=50%","<=50%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Hispanic","Female","*","*","*","*"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","White, not of Hispanic origin","Female","64.4","20.3","<=10%","<=10%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Black, not of Hispanic origin","Students with Disabilities","*","*","*","*"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Asian","Female","87.9","<=10%","<=10%","<=10%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Two or More Races","English Learners","*","*","*","*"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Female","Students with Disabilities","<=50%","<=50%","<=50%","<=50%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Black, not of Hispanic origin","Male","*","*","*","*"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Students without IEP","Not English Learners","74.2","16.5","<=5%","<=5%"
"18 - 19 School Year","PSAT","63","Oakland Schools","63150","Troy School District","05413","Smith Middle School","63","Oakland","LEA School","Middle School","City: Small","8","EBRW","Hispanic","English Learners","*","*","*","*"
