SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,Subgroup,MathPercentReady,MathNumAssessed,MathScoreAverage,MathCountReady,ReadingPercentReady,ReadingNumAssessed,ReadingScoreAverage,SciencePercentReady,ScienceNumAssessed,ScienceScoreAverage,EnglishPercentReady,EnglishNumAssessed,EnglishScoreAverage,AllSubjectPercentReady,AllSubjectNumAssessed,AllSubjectScoreAverage,AllCountReady,EBRWPercentReady,EBRWNumAssessed,EBRWScoreAverage,EBRWCountReady
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Economically Disadvantaged","27.3000","66","479.4000","18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","21.2000","66","958.2000","14","51.5000","66","478.8000","34"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","English Language Learners","<=50%","15","424.0000","<3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","<=50%","15","798.0000","<3","<=50%","15","374.0000","<3"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Female","51.6000","184","538.5000","95","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","49.5000","184","1085.5000","91","76.6000","184","547.0000","141"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Hispanic","43.5000","23","500.9000","10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","39.1000","23","1023.9000","9","73.9000","23","523.0000","17"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Male","55.9000","186","544.5000","104","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","51.1000","186","1074.8000","95","68.8000","186","530.3000","128"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Not Economically Disadvantaged","59.5000","304","555.0000","181","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","56.6000","304","1106.6000","172","77.3000","304","551.6000","235"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Not English Language Learners","55.5000","355","546.5000","197","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","52.1000","355","1092.0000","185","75.2000","355","545.5000","267"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Not Foster Care","53.8000","370","541.5000","199","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","50.3000","370","1080.1000","186","72.7000","370","538.6000","269"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Not Homeless","53.8000","370","541.5000","199","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","50.3000","370","1080.1000","186","72.7000","370","538.6000","269"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","06393","Athens High School","63","Oakland","LEA School","High School","City: Small","Oakland Region","         5","Not Migrant","53.8000","370","541.5000","199","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","50.3000","370","1080.1000","186","72.7000","370","538.6000","269"
