SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,SchoolCode,SchoolName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,Subject,Category,Group,PercentBottom30,NumberBottom30,PercentMiddle40,NumberMiddle40,PercentTop30,NumberTop30,NumberOfStudents
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Math","Program Participation","Not Homeless","29.70","184","40.20","249","30.20","187","620"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Math","Program Participation","Not English Learners","26.20","145","40.90","226","32.90","182","553"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Math","Program Participation","Not Migrant","30.00","187","40.10","250","30.00","187","624"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Science","Program Participation","Students without IEP","25.00","48","42.20","81","32.80","63","192"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","ELA","Race/Ethnicity","Two or More Races","41.90","13","38.70","12","19.40","< 10","31"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","SocialStudies","Race/Ethnicity","Two or More Races","28.60","< 10","42.90","< 10","28.60","< 10","14"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Math","Race/Ethnicity","Two or More Races","38.70","12","41.90","13","19.40","< 10","31"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Science","Race/Ethnicity","Two or More Races","28.60","< 10","35.70","< 10","35.70","< 10","14"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","ELA","Race/Ethnicity","White, not of Hispanic origin","33.20","88","46.00","122","20.80","55","265"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","SocialStudies","Race/Ethnicity","White, not of Hispanic origin","34.10","30","38.60","34","27.30","24","88"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Math","Race/Ethnicity","White, not of Hispanic origin","31.20","83","52.30","139","16.50","44","266"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Science","Race/Ethnicity","White, not of Hispanic origin","30.00","27","40.00","36","30.00","27","90"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Math","Program Participation","Students with Disabilities","80.70","46","12.30","< 10","7.00","< 10","57"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","ELA","Program Participation","English Learners","65.20","45","34.80","24","< 5","< 10","69"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","ELA","Program Participation","Economically Disadvantaged","52.50","84","35.60","57","11.90","19","160"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","ELA","Program Participation","Homeless","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","SocialStudies","Program Participation","English Learners","50.00","14","50.00","14","< 5","< 10","28"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","SocialStudies","Program Participation","Homeless","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Math","Program Participation","Economically Disadvantaged","52.20","84","37.90","61","9.90","16","161"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","ELA","Program Participation","Students with Disabilities","71.90","41","22.80","13","5.30","< 10","57"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","SocialStudies","Program Participation","Students with Disabilities","60.00","12","30.00","< 10","10.00","< 10","20"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Science","Program Participation","English Learners","42.90","12","53.60","15","< 5","< 10","28"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Science","Program Participation","Homeless","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Science","Program Participation","Economically Disadvantaged","55.20","32","34.50","20","10.30","< 10","58"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Science","Program Participation","Students with Disabilities","72.70","16","22.70","< 10","< 5","< 10","22"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Math","Program Participation","English Learners","59.20","42","33.80","24","7.00","< 10","71"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","00174","Baker Middle School","63","Oakland","LEA School","Middle School","City: Small","Math","Program Participation","Homeless","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"23 - 24 School Year","63","Oakland Schools","63150","Troy School District","02161","Leonard Elementary School","63","Oakland","LEA School","Elementary","City: Small","ELA","Program Participation","English Learners","48.70","19","48.70","19","< 5","< 10","39"
